3,BL_0,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,BL_7,BL_8,BL_9,BL_10,BL_11,BL_12,BL_13,BL_14,BL_15,BL_16,BL_17,BL_18,BL_19,BL_20,BL_21,BL_22,BL_23,BL_24,BL_25,BL_26,BL_27,BL_28,BL_29,BL_30,BL_31
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
WL_127,9967.399576247351,1317.9147573804053,12158.545519084457,4383.288757913152,713.0809975972304,4180.393701452128,5232.868371312332,3713.825674680482,2693.969779420355,5026.213212433886,1309.0521405143809,3345.7503142192045,3606.166516266872,6789.156269840828,3711.022055573708,3513.5040597145544,7508.979221395185,10476.45271378893,10289.290517521566,3325.8113107970016,8566.066722717038,5978.400287790439,3610.816584079499,9642.054131820476,111446019.9425372,9926.981885564188,7138.493675913541,6701.60810972929,3041.4241359310467,3373.1489062484475,3003.0174134317767,2852.020855365898
